temp_treat,little_r,little_d,little_b
20-20,0.27066502321460484,0.013219136672401686,0.28388415988700655
20-20,0.2773089955652485,0.013331567107832253,0.29064056267308075
20-20,0.2747853847558057,0.009516061207048052,0.2843014459628538
20-20,0.2682357018560359,0.014963345354812798,0.2831990472108487
20-20,0.26577155816367304,0.011004857267032684,0.27677641543070575
20-20,0.2737553318989902,0.015402377445855406,0.28915770934484564
20-20,0.27461011986428613,0.00858967747238279,0.2831997973366689
20-20,0.2755592995593756,0.00826756376363338,0.28382686332300894
20-20,0.27367159227646426,0.015019651945915896,0.28869124422238013
20-20,0.27109754681906667,0.011724268252879385,0.28282181507194604
20-20,0.27268400574425267,0.013349085182585069,0.2860330909268377
20-20,0.27070153919623025,0.01170388336336783,0.28240542255959805
20-20,0.2760163531948771,0.010559884140568458,0.28657623733544557
20-20,0.26951713709488484,0.014015461297820471,0.28353259839270534
20-20,0.2754794666835129,0.01216525275863536,0.28764471944214826
20-20,0.27384889487614444,0.007910487685678633,0.2817593825618231
20-20,0.27154167287214553,0.013918102905833438,0.285459775777979
20-20,0.27499363142828315,0.011607237339335306,0.2866008687676185
20-20,0.2730576703122923,0.01185435934198096,0.28491202965427326
20-20,0.27090673846986174,0.009165473670321977,0.28007221214018374
20-20,0.273594726521246,0.010726858522944636,0.28432158504419064
20-20,0.27211728321940404,0.011168883736487773,0.2832861669558918
20-20,0.273953197493487,0.011886937637100883,0.28584013513058787
20-20,0.2739095659114884,0.011451356599874092,0.2853609225113625
20-20,0.2734162680844721,0.009308225053917282,0.2827244931383894
20-20,0.2674311503416137,0.009193888355335276,0.276625038696949
20-20,0.273990062804672,0.011377717317610248,0.2853677801222822
20-20,0.2692039013514363,0.013352759279986217,0.2825566606314225
20-20,0.27489508538376495,0.008399246012778104,0.28329433139654303
20-20,0.2738579099443951,0.010977670371493223,0.2848355803158883
20-20,0.2739147416763604,0.009049961022663162,0.2829647026990235
20-20,0.27732176121613206,0.011955755479829971,0.289277516695962
20-20,0.2749979857306544,0.009095859433923504,0.2840938451645779
20-20,0.2754728080752403,0.015442441939619198,0.2909152500148595
20-20,0.27031255434785706,0.013436517144510664,0.2837490714923677
20-20,0.2735335742676389,0.00869312068140347,0.2822266949490424
20-20,0.2708761358289334,0.010583011648347483,0.28145914747728085
20-20,0.2773070626868944,0.015604777925269073,0.2929118406121635
20-20,0.27374253524395487,0.011909828716240353,0.2856523639601952
20-20,0.270884069875225,0.012515199918098789,0.2833992697933238
20-20,0.27352755124488937,0.012900592677083638,0.286428143921973
20-20,0.27279425984976274,0.010626688910096244,0.283420948759859
20-20,0.2727228886527734,0.01190522643488864,0.284628115087662
20-20,0.27300716153085136,0.017409934004012292,0.29041709553486367
20-20,0.27537730030403523,0.01613832760010949,0.2915156279041447
